#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
 321 JNLE                        2400                0
 324 JNS                         1076                0
 325 JNZ                        36892                0
 326 JO                             3                0
 329 JS                            66                0
 330 JZ                         48388                0
 388 LEA                        33163                0
 389 LEAVE                          4                0
 427 MOV                       193892                0
 431 MOVD                         119                0
 436 MOVDQA                      2279                0
 437 MOVDQU                       512                0
 439 MOVHPD                      1610                0
 442 MOVLPD                      1610                0
 454 MOVQ                          77                0
 464 MOVSX                        721                0
 465 MOVSXD                      4752                0
 468 MOVZX                      25314                0
 472 MUL                            4                0
 480 NEG                          161                0
 482 NOP                         1954                0
 491 NOT                           19                0
 493 OR                           971                0
 526 PCMPEQB                     3608                0
 592 PMINUB                        72                0
 595 PMOVMSKB                    1979                0
 616 POP                        14761                0
 623 POR                          252                0
 634 PSHUFD                       179                0
 642 PSLLDQ                       637                0
 649 PSRLDQ                       149                0
 652 PSUBB                       1453                0
 667 PUNPCKLBW                    239                0
 670 PUNPCKLWD                    119                0
 671 PUSH                       17464                0
 678 PXOR                        2350                0
 694 RDTSC                          9                0
 740 RET_NEAR                    6229                0
 743 ROL                          113                0
 744 ROR                           16                0
 756 SAR                          862                0
 759 SBB                           14                0
 770 SETB                         499                0
 771 SETBE                        150                0
 775 SETNBE                        91                0
 781 SETNZ                      10061                0
 786 SETZ                        2668                0
 796 SHL                         3474                0
 799 SHR                         6041                0
 821 STOSQ                          0             1486
 826 SUB                        12160                0
 833 SYSCALL                      100                0
 847 TEST                       48029                0
1232 VMOVDQU                      112                0
1718 XBEGIN                         6                0
1719 XCHG                         659                0
1721 XGETBV                         1                0
1723 XOR                        14099                0
1728 XRSTOR                        42                0
1734 XSAVEC                        42                0
3000 *total                    729782             2752
3001 *mem-atomic                   38                0
3002 *stack-read                75878                0
3003 *stack-write               57118                0
3004 *iprel-read                 8138                0
3005 *iprel-write                 787                0
3007 *mem-read-1                38243                0
3008 *mem-read-2                 6514                0
3010 *mem-read-4                22781                0
3014 *mem-read-8               104845                0
3022 *mem-read-16                2102                0
3519 *mem-write-1                9167                0
3520 *mem-write-2                 117                0
3522 *mem-write-4                7264                0
3526 *mem-write-8               58936                0
3534 *mem-write-16                684                0
3582 *mem-write-64                 42                0
4094 LAST                          42                0
# $eof
